iter	RMSE
0	0.8565113502
1	0.8422825596
2	0.8280562048
3	0.8143670832
4	0.8013619838
5	0.7889757514
6	0.7769806736
7	0.7651271332
8	0.7537395751
9	0.7427791349
10	0.7324003433
11	0.7222132473
12	0.7124522566
13	0.7031770064
14	0.6941906962
15	0.6857813446
16	0.6773293814
17	0.6690470728
18	0.6614398593
19	0.6541215403
20	0.6468713461
21	0.6400155307
22	0.632805978
23	0.6260699406
24	0.6198470732
25	0.6131826709
26	0.6072425885
27	0.6011630469
28	0.5952259626
29	0.5897504779
30	0.5838065481
31	0.5780765018
32	0.5725004208
33	0.5670454371
34	0.5620334765
35	0.557156737
36	0.5524077479
37	0.547898628
38	0.5434983835
39	0.5391710339
40	0.5345099041
41	0.5306415914
42	0.5265775328
43	0.5225336315
44	0.5186782281
45	0.5148564457
46	0.511336618
47	0.508241213
48	0.5047272581
49	0.5013778016
50	0.4977589089
51	0.4945963879
52	0.4916335895
53	0.4885122039
54	0.4855634946
55	0.482866121
56	0.4800008273
57	0.4772328778
58	0.4745003973
59	0.4723754651
60	0.4697231479
61	0.4670319883
62	0.464425932
63	0.4617683125
64	0.4594244634
65	0.4571420713
66	0.4550996516
67	0.4527056885
68	0.4506732158
69	0.4485569884
70	0.446462544
71	0.4443458465
72	0.4422418517
73	0.4401985458
74	0.4380297771
75	0.4360264342
76	0.4341251981
77	0.4321789497
78	0.4302167889
79	0.428527515
80	0.4269588478
81	0.4251699242
82	0.4232996845
83	0.4214836049
84	0.4198911605
85	0.4181564313
86	0.4164732011
87	0.4149739345
88	0.4136522112
89	0.4119984563
90	0.4106342279
91	0.4092348464
92	0.4079451958
93	0.4064128452
94	0.4050449796
95	0.4036315715
96	0.4022102073
97	0.4008532524
98	0.3993889412
99	0.3981500729
100	0.3967985723
101	0.3957019663
102	0.3945124638
103	0.3931116846
104	0.3920847836
105	0.3908991032
106	0.3898293813
107	0.3884973952
108	0.3875423148
109	0.3865860127
110	0.3854267866
111	0.3840845637
112	0.3831312694
113	0.3822110415
114	0.3812317571
115	0.3802092851
116	0.3791508806
117	0.3782319445
118	0.3771380637
119	0.3761235771
120	0.3748220364
121	0.3739038578
122	0.3727272165
123	0.3712140254
124	0.3699716823
125	0.3691148814
126	0.367834386
127	0.3668420341
128	0.3658394171
129	0.3649264713
130	0.3639794181
131	0.3629413053
132	0.3619427878
133	0.3608454913
134	0.360041214
135	0.3589273668
136	0.3578559876
137	0.3568105206
138	0.3558355154
139	0.35485619
140	0.3537718301
141	0.3529375373
142	0.352198394
143	0.3511456794
144	0.3504064822
145	0.349526519
146	0.3486156781
147	0.347846136
148	0.3469397416
149	0.3462769677
150	0.3453740326
151	0.3445840007
152	0.343725813
153	0.3430597832
154	0.3423411044
155	0.3416940965
156	0.3410392416
157	0.3403908272
158	0.3396996699
159	0.3391697078
160	0.3384407226
161	0.3375807014
162	0.3367113005
163	0.335656151
164	0.3350545355
165	0.3343927719
166	0.33379224
167	0.3328893297
168	0.3323171298
169	0.331551594
170	0.3307202655
171	0.3301241188
172	0.3293010066
173	0.3287224501
174	0.3279724108
175	0.3272453929
176	0.3266681047
177	0.3260109765
178	0.3253610541
179	0.3245345091
180	0.3239113251
181	0.3232310062
182	0.3223451877
183	0.3217717342
184	0.3211381064
185	0.3204128617
186	0.3197984122
187	0.3192487739
188	0.3186273167
189	0.3180972796
190	0.3173075873
191	0.3167185424
192	0.3159586321
193	0.3155222756
194	0.3148753012
195	0.3141043716
196	0.3134807567
197	0.3128846027
198	0.3122914579
199	0.3117276165
200	0.3110175698
201	0.3102658542
202	0.309827185
203	0.3091871083
204	0.3085773092
205	0.308017193
206	0.3073672498
207	0.3067855497
208	0.3063049165
209	0.3057662461
210	0.3051225385
211	0.3044441029
212	0.3038433918
213	0.303161706
214	0.3024942179
215	0.3019160447
216	0.301298852
217	0.3007561458
218	0.3000990511
219	0.2995305221
220	0.2990271489
221	0.2983951097
222	0.2978455224
223	0.2973154354
224	0.2966339621
225	0.2961331951
226	0.2957435701
227	0.2950740452
228	0.2946672318
229	0.2942549849
230	0.2938698091
231	0.2932809425
232	0.2927519299
233	0.2922793608
234	0.2918470648
235	0.2914382544
236	0.2909539086
237	0.2905270712
238	0.2900257722
239	0.2894567543
240	0.2889406588
241	0.2884911103
242	0.2880704467
243	0.2875523159
244	0.2870166413
245	0.2865131482
246	0.2861320219
247	0.2856230836
248	0.2852304373
249	0.2847510521
250	0.2843078009
251	0.2838937509
252	0.2835150652
253	0.2832250968
254	0.2827845636
255	0.2823111944
256	0.2818765365
257	0.2814976414
258	0.2811756285
259	0.2807475995
260	0.2803222851
261	0.2799885549
262	0.2796802916
263	0.2791254439
264	0.278713048
265	0.2782904125
266	0.2778966139
267	0.2773880814
268	0.2769313153
269	0.2764799152
270	0.2760504497
271	0.2757163627
272	0.2752347669
273	0.2750006838
274	0.2747421467
275	0.2743280699
276	0.2739027715
277	0.2735602762
278	0.2730685656
279	0.2728076582
280	0.2724959057
281	0.2720119063
282	0.2716056129
283	0.2712147541
284	0.2707743928
285	0.2704908702
286	0.2701148951
287	0.2697889263
288	0.2693710342
289	0.268973491
290	0.2686725752
291	0.268302199
292	0.2678904415
293	0.2674998848
294	0.2670267298
295	0.2667844279
296	0.2663915528
297	0.2661305729
298	0.2657508018
299	0.2654065441
300	0.265121868
301	0.2647589653
302	0.2644327517
303	0.2640776666
304	0.2636649406
305	0.26321283
306	0.2628771597
307	0.2626165014
308	0.2622120166
309	0.2618912045
310	0.261598116
311	0.2611416883
312	0.2608223217
313	0.2603993799
314	0.2600150394
315	0.259618422
316	0.2593389389
317	0.2589119314
318	0.2584910837
319	0.2582077639
320	0.2578049463
321	0.2574261038
322	0.2571458432
323	0.256750155
324	0.2563129561
325	0.256039283
326	0.2556159398
327	0.25522044
328	0.2549459854
329	0.2546454984
330	0.2543244231
331	0.2540304801
332	0.2538033439
333	0.2533376177
334	0.2530311845
335	0.2528082191
336	0.252377036
337	0.2520374456
338	0.2517139656
339	0.2513719453
340	0.2511022326
341	0.250715759
342	0.2504322498
343	0.2501398946
344	0.2499336967
345	0.2495873882
346	0.2493430288
347	0.2489830016
348	0.2487175604
349	0.248372127
350	0.2481424397
351	0.2478610847
352	0.2475541077
353	0.2473587343
354	0.2470273562
355	0.2468158488
356	0.2466749278
357	0.2465206271
358	0.2463429936
359	0.2460592751
360	0.2456474143
361	0.2454057999
362	0.2450786235
363	0.2447814547
364	0.2443605813
365	0.2439736698
366	0.2436142694
367	0.2433652217
368	0.2431463846
369	0.242954879
370	0.2426780231
371	0.2424086258
372	0.2422216784
373	0.241955562
374	0.2416105584
375	0.2413816504
376	0.2411881836
377	0.2409849181
378	0.2406299027
379	0.2404134879
380	0.2401266949
381	0.2399380625
382	0.2395822009
383	0.2392325615
384	0.2389847373
385	0.2386574889
386	0.2383903504
387	0.2381914839
388	0.2378600866
389	0.2375219605
390	0.2373536912
391	0.2370666031
392	0.2367226584
393	0.2364204548
394	0.2361097666
395	0.2357858619
396	0.2355454713
397	0.2353480103
398	0.2351391133
399	0.2349594897
400	0.2347192297
401	0.2344449353
402	0.2342587359
403	0.2340238787
404	0.2337819372
405	0.2336192908
406	0.2334140178
407	0.2330362614
408	0.2326673653
409	0.2325069583
410	0.2322153695
411	0.232006907
412	0.2317724814
413	0.2315224225
414	0.2313408885
415	0.2312086061
416	0.2310622649
417	0.2308602143
418	0.2306666834
419	0.2304808237
420	0.230288
421	0.2300770076
422	0.2299199171
423	0.2297469405
424	0.2295667569
425	0.2293466103
426	0.2291166137
427	0.2288945576
428	0.2286328666
429	0.2283695607
430	0.2281182508
431	0.2279398951
432	0.2277217608
433	0.2275159744
434	0.2273891041
435	0.227219848
436	0.2269679301
437	0.2266408581
438	0.2263903006
439	0.2261439644
440	0.2258316884
441	0.2256119311
442	0.2253473297
443	0.2251476398
444	0.2249079998
445	0.2245689662
446	0.2243222641
447	0.2239959245
448	0.2237029664
449	0.2235204843
450	0.2233062435
451	0.223058293
452	0.2228642599
453	0.2226358697
454	0.2224067626
455	0.222188679
456	0.2220652557
457	0.2218318865
458	0.2216343548
459	0.2214791006
460	0.2213715948
461	0.2211241103
462	0.2209150856
463	0.2206673603
464	0.2203587011
465	0.2201519744
466	0.2198839537
467	0.2196232734
468	0.2193953379
469	0.2192660566
470	0.2190810164
471	0.2188399527
472	0.2186917043
473	0.2184908375
474	0.2181843821
475	0.218027107
476	0.2178844687
477	0.2176467664
478	0.2173980303
479	0.2170665635
480	0.2169230501
481	0.2166792461
482	0.2164855348
483	0.2162677905
484	0.2160102932
485	0.2158381072
486	0.2157047351
487	0.2155693326
488	0.2154493842
489	0.2151595356
490	0.2150584049
491	0.214785243
492	0.2145916889
493	0.2144602996
494	0.2142626723
495	0.2141143465
496	0.2139895779
497	0.2138220882
498	0.2135812156
499	0.2134761232
500	0.213264305
501	0.2131829414
502	0.2129346354
503	0.2128323133
504	0.212666258
505	0.2125500674
506	0.21233189
507	0.2121645888
508	0.2119996782
509	0.2117779478
510	0.2115859253
511	0.211366158
512	0.2111863432
513	0.2109595714
514	0.2106791403
515	0.2105328162
516	0.2103354318
517	0.2100976972
518	0.2099402414
519	0.2097223233
520	0.209581888
521	0.209361881
522	0.2091962446
523	0.2089714494
524	0.2087566383
525	0.2086358227
526	0.208452021
527	0.2084488316
528	0.2082398287
529	0.2080438088
530	0.2078811858
531	0.2078740516
532	0.2076804326
533	0.2075343935
534	0.2074229031
535	0.207238818
536	0.207025267
537	0.2068960196
538	0.2067476257
539	0.2066232478
540	0.2064087359
541	0.2061849792
542	0.2060715146
543	0.2058038371
544	0.2055771864
545	0.2054506881
546	0.2053202466
547	0.2051085626
548	0.2048586467
549	0.2045972538
550	0.2044504703
551	0.2042535467
552	0.2040740361
553	0.2039267739
554	0.2037606012
555	0.2035968568
556	0.2034961066
557	0.2033473111
558	0.2032321284
559	0.2030230926
560	0.2028578159
561	0.2026905799
562	0.2025512185
563	0.2024291062
564	0.2023234016
565	0.2021419009
566	0.2020279474
567	0.2018387461
568	0.2017295213
569	0.2014979774
570	0.2013301325
571	0.2011095921
572	0.2009619264
573	0.2008064462
574	0.200647428
575	0.2004744652
576	0.2003379433
577	0.2002216751
578	0.1999990356
579	0.1998382465
580	0.1997159655
581	0.1995779714
582	0.1994723624
583	0.1993472652
584	0.1991400763
585	0.1989383471
586	0.198807124
587	0.1986682749
588	0.19850755
589	0.198402541
590	0.1982146274
591	0.1980009732
592	0.1978152775
593	0.1977166456
594	0.1974907418
595	0.1973031223
596	0.1971217791
597	0.1969461162
598	0.1967801046
599	0.1966515067
600	0.1964902368
601	0.196331418
602	0.1961693695
603	0.1960229647
604	0.1959079252
605	0.1957438249
606	0.195572513
607	0.1954194589
608	0.1952774638
609	0.195117286
610	0.1949569985
611	0.1947981224
612	0.1946797629
613	0.1945103071
614	0.1943579148
615	0.1941969766
616	0.1940541064
617	0.1938980707
618	0.1937385261
619	0.1936143203
620	0.1934876585
621	0.1933291668
622	0.1931478474
623	0.1930014136
624	0.1928572028
625	0.1927095924
626	0.1925592168
627	0.1924344849
628	0.1923197664
629	0.1922173699
630	0.1920590772
631	0.1918689471
632	0.1917474548
633	0.1916373215
634	0.1915435479
635	0.1913358696
636	0.1912055965
637	0.1910531056
638	0.1909380356
639	0.1908585886
640	0.1906575345
641	0.1904888699
642	0.1903617789
643	0.1902284567
644	0.1901033302
645	0.1899836354
646	0.1898124987
647	0.1896576982
648	0.1894927529
649	0.1893404066
650	0.1891996701
651	0.1890560358
652	0.1889262859
653	0.1888126768
654	0.1887136765
655	0.1885569221
656	0.1884096313
657	0.1882843209
658	0.1881418255
659	0.1879906916
660	0.1878194385
661	0.1877431626
662	0.1876600125
663	0.1875678244
664	0.1874643571
665	0.18732683
666	0.1871632444
667	0.1870466999
668	0.1869029966
669	0.1868053555
670	0.1866650079
671	0.1865721488
672	0.1864582511
673	0.1863449509
674	0.186223521
675	0.1860796941
676	0.1860007663
677	0.185931632
678	0.1858201021
679	0.1856726143
680	0.1855682612
681	0.185433656
682	0.1852994993
683	0.1851143414
684	0.1849749115
685	0.1848727572
686	0.1847263781
687	0.184553083
688	0.1843911831
689	0.1843179621
690	0.1841793668
691	0.1839752855
692	0.183812009
693	0.1837101136
694	0.1835152953
695	0.1834338872
696	0.1833207436
697	0.1832269465
698	0.183130947
699	0.1830117472
700	0.1829086885
701	0.182778006
702	0.1826711741
703	0.1825638402
704	0.1824252932
705	0.1823554219
706	0.1822379156
707	0.1821443616
708	0.1820109992
709	0.1818768572
710	0.1817732846
711	0.1816783913
712	0.1815604197
713	0.1814281486
714	0.1813507761
715	0.181265876
716	0.1811148484
717	0.180973923
718	0.1809659735
719	0.1808692253
720	0.1807179986
721	0.1805940865
722	0.1805833482
723	0.1805470527
724	0.1804479993
725	0.1802892903
726	0.1801869206
727	0.1801765289
728	0.1800516542
729	0.179958125
730	0.1798627828
731	0.1797077351
732	0.1796401755
733	0.1795367338
734	0.1793761519
735	0.1793716234
736	0.1792580153
737	0.1791638161
738	0.1790291846
739	0.1789520149
740	0.1788648223
741	0.178780116
742	0.1786454195
743	0.1785040012
744	0.1783799788
745	0.1783144976
746	0.1783046946
747	0.1781953646
748	0.1780981836
749	0.1780206225
750	0.1779136352
751	0.1778094201
752	0.1776978056
753	0.1775953568
754	0.1775149922
755	0.1774021305
756	0.1772836124
757	0.1771892589
758	0.1771800413
759	0.1770368597
760	0.1769174344
761	0.1767957202
762	0.176789571
763	0.1766980126
764	0.1765767452
765	0.1764937223
766	0.1763788517
767	0.1762601442
768	0.1762070897
769	0.1761999744
770	0.1760828402
771	0.1759764558
772	0.1759150616
773	0.1758039498
774	0.1758019169
775	0.1757339874
776	0.1756124168
777	0.1755588122
778	0.1754109156
779	0.1754041633
780	0.175397667
781	0.1752569639
782	0.1751663077
783	0.1750511408
784	0.1749565413
785	0.1748794039
786	0.1748029857
787	0.1747999313
788	0.1746604231
789	0.174566977
790	0.1745590821
791	0.1744564582
792	0.1743510231
793	0.1742404534
794	0.1741370099
795	0.1740900383
796	0.1739576413
797	0.1738826043
798	0.1737917789
799	0.1736659268
800	0.1735778951
801	0.1735749763
802	0.1734539915
803	0.1733402715
804	0.1732440434
805	0.1731409224
806	0.1730729484
807	0.1729687646
808	0.172823056
809	0.1728125642
810	0.1727136614
811	0.1727063366
812	0.1725878939
813	0.1724918244
814	0.1724145818
815	0.1722973349
816	0.1721946076
817	0.1721814099
818	0.1720680279
819	0.1719710226
820	0.1719392204
821	0.1718391997
822	0.1716902264
823	0.1715852584
824	0.1715260351
825	0.1714483242
826	0.1713488538
827	0.1711633815
828	0.1710680407
829	0.1709978876
830	0.170995234
831	0.1709126312
832	0.1707960545
833	0.1706845893
834	0.1705292977
835	0.1703863572
836	0.1702487653
837	0.1701163869
838	0.17000048
839	0.1699210061
840	0.1698387891
841	0.1697632417
842	0.1696882248
843	0.1695887298
844	0.1694777251
845	0.1693873297
846	0.1693083535
847	0.1692529666
848	0.1691574175
849	0.169046124
850	0.1689136607
851	0.1688078121
852	0.1687497937
853	0.1686413013
854	0.1685535794
855	0.168547705
856	0.1684852936
857	0.1684465661
858	0.1683171974
859	0.1682123608
860	0.1681844659
861	0.1681789164
862	0.1680571149
863	0.167921984
864	0.1678545864
865	0.1678504174
866	0.1677699262
867	0.1676886239
868	0.1676075435
869	0.1675810782
870	0.1674993087
871	0.1673938359
872	0.1673161252
873	0.1672294973
874	0.1671375402
875	0.1670077386
876	0.1669058579
877	0.1668436357
878	0.1668415507
879	0.1667243209
880	0.1666510048
881	0.1665838138
882	0.1664919128
883	0.1663505835
884	0.1662465512
885	0.1661302078
886	0.1661239624
887	0.1660543845
888	0.1659483526
889	0.1658481874
890	0.165825029
891	0.1657223574
892	0.1656247726
893	0.1655158411
894	0.1653862188
895	0.165381236
896	0.1653028393
897	0.1652980446
898	0.1652035413
899	0.1651582278
900	0.1650561654
901	0.1649490529
902	0.1648720302
903	0.1647843664
904	0.1646824011
905	0.1646525928
906	0.1645909549
907	0.1645353292
908	0.1644321793
909	0.1643337862
910	0.1643077528
911	0.1642752126
912	0.164251683
913	0.1641962396
914	0.164110953
915	0.164007223
916	0.1639217949
917	0.1638768694
918	0.1637689624
919	0.163680512
920	0.1635731988
921	0.1634679102
922	0.1633751635
923	0.1632921315
924	0.1631615089
925	0.1630806691
926	0.1630118508
927	0.1629009858
928	0.1628118074
929	0.1627260895
930	0.162656907
931	0.162535811
932	0.1625008308
933	0.1624318301
934	0.1623419873
935	0.1622835617
936	0.1622797169
937	0.1622131729
938	0.1620664465
939	0.1619906307
940	0.1619045574
941	0.1618052151
942	0.1617076673
943	0.1616134299
944	0.1615044081
945	0.161404308
946	0.161316646
947	0.1612110153
948	0.1611528168
949	0.1610849053
950	0.1609959148
951	0.1609302668
952	0.1608465339
953	0.1607234073
954	0.1606415843
955	0.1605677568
956	0.1605119626
957	0.160510139
958	0.1605067531
959	0.1604369936
960	0.1603480075
961	0.1602585368
962	0.1601736699
963	0.1600862153
964	0.1600082275
965	0.1599331433
966	0.159843544
967	0.1597495306
968	0.159653245
969	0.1595735847
970	0.1595010082
971	0.1594992807
972	0.159405573
973	0.1593841078
974	0.1593687539
975	0.1593221315
976	0.1592352359
977	0.1591094996
978	0.1590096078
979	0.1589857294
980	0.1589203755
981	0.158909677
982	0.158797596
983	0.1587151217
984	0.1585958678
985	0.1584977828
986	0.1584196474
987	0.1583531491
988	0.1582734815
989	0.1581784649
990	0.1581122972
991	0.1580457045
992	0.1579925806
993	0.1578799702
994	0.1577824187
995	0.1576960687
996	0.1576924188
997	0.1576908085
998	0.1575630374
999	0.1574778701
1000	0.1573727617
1001	0.1572915591
1002	0.1571955303
1003	0.1571263034
1004	0.1570473521
1005	0.156933208
1006	0.1568532895
1007	0.1567396014
1008	0.1567381081
1009	0.1566741953
1010	0.1566091128
1011	0.1565451847
1012	0.1564691461
1013	0.1564066168
1014	0.1564054437
1015	0.1564022064
1016	0.1563268195
1017	0.1562623457
1018	0.1561654136
1019	0.1560782037
1020	0.155999663
1021	0.15594047
1022	0.1559372042
1023	0.1558576301
1024	0.1557674133
1025	0.1557657496
1026	0.1557060857
1027	0.1556450948
1028	0.1555408303
1029	0.1554976691
1030	0.1554945094
1031	0.1554922002
1032	0.1553795785
1033	0.1553007406
1034	0.1552104929
1035	0.1551481693
1036	0.1550384533
1037	0.1549562429
1038	0.1548841854
1039	0.1547914924
1040	0.1547302751
1041	0.1546509965
1042	0.1546258186
1043	0.1545958161
1044	0.154535874
1045	0.1544645901
1046	0.1543934225
1047	0.1543645441
1048	0.1542668469
1049	0.1542528838
1050	0.1541910909
1051	0.1541365125
1052	0.1540238053
1053	0.1539387699
1054	0.1539342097
1055	0.1538865669
1056	0.153817704
1057	0.1537249206
1058	0.1536237551
1059	0.1535394651
1060	0.1534502611
1061	0.1533699083
1062	0.1532634331
1063	0.1531837582
1064	0.1531219677
1065	0.153024895
1066	0.1529626187
1067	0.1528745093
1068	0.1528691484
1069	0.1527872053
1070	0.1526959286
1071	0.1526688412
1072	0.1525653584
1073	0.152451884
1074	0.1524008697
1075	0.1523477188
1076	0.1522634597
1077	0.1522019568
1078	0.1521292248
1079	0.1520626115
1080	0.1519890675
1081	0.1519175218
1082	0.1518500425
1083	0.1517461319
1084	0.1517093484
1085	0.151622834
1086	0.151547143
1087	0.1514697711
1088	0.1513297265
1089	0.1512277012
1090	0.1511418607
1091	0.1510806822
1092	0.1510204044
1093	0.1509243468
1094	0.1508825419
1095	0.1508390406
1096	0.1507819242
1097	0.150732849
1098	0.1506195985
1099	0.1505407658
1100	0.1504547969
1101	0.1503332957
1102	0.1502702232
1103	0.150214718
1104	0.1501380256
1105	0.1500824811
1106	0.1500625413
1107	0.1499853806
1108	0.1499171971
1109	0.1498955945
1110	0.1497915039
1111	0.1497339943
1112	0.1496727069
1113	0.1496079334
1114	0.1495644461
1115	0.1495607914
1116	0.1495161753
1117	0.1494279969
1118	0.1493605306
1119	0.1493090977
1120	0.1492302247
1121	0.1491647749
1122	0.1491513565
1123	0.1490930422
1124	0.1490584039
1125	0.14900404
1126	0.1489099127
1127	0.1488624106
1128	0.148792732
1129	0.1486733166
1130	0.1485928483
1131	0.1485023595
1132	0.1484242877
1133	0.1483667751
1134	0.1482823648
1135	0.1482136702
1136	0.1481634474
1137	0.1480896986
1138	0.1479951409
1139	0.1479787429
1140	0.1479195137
1141	0.1478523972
1142	0.1478359185
1143	0.1477256192
1144	0.1476741178
1145	0.1475831285
1146	0.1475166335
1147	0.147440855
1148	0.1473878466
1149	0.1473389492
1150	0.1472894087
1151	0.1472286473
1152	0.1471129456
1153	0.1470297104
1154	0.1469696032
1155	0.1469162777
1156	0.1468667847
1157	0.1467656722
1158	0.1467164081
1159	0.1466581204
1160	0.1466196222
1161	0.1465854104
1162	0.1465475214
1163	0.1464862203
1164	0.1464026856
1165	0.1463259151
1166	0.1462550845
1167	0.1462157723
1168	0.146158004
1169	0.146068101
1170	0.1460102362
1171	0.1459284666
1172	0.1459112677
1173	0.1458557896
1174	0.1457907253
1175	0.1457349713
1176	0.1456872002
1177	0.1456011705
1178	0.1455123309
1179	0.1454530733
1180	0.1453667502
1181	0.1453642719
1182	0.1453498576
1183	0.145305324
1184	0.1452477591
1185	0.1451769532
1186	0.1450853922
1187	0.1450427944
1188	0.1450323888
1189	0.1449396245
1190	0.1448605603
1191	0.1448076484
1192	0.1447604346
1193	0.1447417052
1194	0.1446515144
1195	0.1445578767
1196	0.1444682895
1197	0.1444052728
1198	0.1444031263
1199	0.1443297409
1200	0.1442887709
1201	0.1442848089
1202	0.1442185729
1203	0.144116307
1204	0.1440429771
1205	0.144016726
1206	0.1439457075
1207	0.1438970137
1208	0.1438861755
1209	0.1438226541
1210	0.1438106025
1211	0.1437223938
1212	0.143707526
1213	0.1437017261
1214	0.1436391631
1215	0.1436158264
1216	0.1435516814
1217	0.1434798084
1218	0.143412065
1219	0.1433344863
1220	0.1432592395
1221	0.1431944087
1222	0.1431334809
1223	0.1431052043
1224	0.1430656432
1225	0.1429932299
1226	0.1429600335
1227	0.1428777139
1228	0.1428157654
1229	0.1427562445
1230	0.14274729
1231	0.1426740994
1232	0.1426214985
1233	0.1426200295
1234	0.1425895618
1235	0.1425460353
1236	0.1424989935
1237	0.1424198905
1238	0.1423620911
1239	0.1423229655
1240	0.1422891076
1241	0.1422882492
1242	0.142197977
1243	0.142119076
1244	0.1420276074
1245	0.1419905817
1246	0.1419885539
1247	0.1419274465
1248	0.141861809
1249	0.1417820337
1250	0.1417389983
1251	0.1416802088
1252	0.1415855503
1253	0.1415714554
1254	0.1415180384
1255	0.141450757
1256	0.1413946524
1257	0.1413041515
1258	0.1412338094
1259	0.1411753014
1260	0.1411277367
1261	0.1410653407
1262	0.1410641351
1263	0.141008899
1264	0.1409499761
1265	0.1408589463
1266	0.1408143499
1267	0.1407512737
1268	0.1406701445
1269	0.1406127859
1270	0.1405687162
1271	0.1405039454
1272	0.1404371585
1273	0.1403702419
1274	0.1403200664
1275	0.140240345
1276	0.1402068828
1277	0.140143781
1278	0.1400844982
1279	0.1400369541
1280	0.140036186
1281	0.1400074721
1282	0.1399291102
1283	0.1398718406
1284	0.139825824
1285	0.1397491814
1286	0.1397046883
1287	0.1396683509
1288	0.1395898864
1289	0.1395160516
1290	0.1394814309
1291	0.1394200835
1292	0.1393598635
1293	0.139318262
1294	0.1392604405
1295	0.1392095149
1296	0.1391719557
1297	0.1390881993
1298	0.1390218257
1299	0.1389785655
1300	0.1389434362
1301	0.1388714798
1302	0.1388290584
1303	0.1387530087
1304	0.1386863718
1305	0.1386561536
1306	0.1386212581
1307	0.1385961825
1308	0.1385287383
1309	0.138502878
1310	0.1384936196
1311	0.1384036719
1312	0.1383349585
1313	0.1382966713
1314	0.1382440106
1315	0.1382253812
1316	0.1381690938
1317	0.1380814206
1318	0.1380293992
1319	0.1379743289
1320	0.1379160446
1321	0.1378748644
1322	0.1378178459
1323	0.1377575883
1324	0.1377122316
1325	0.1376581005
1326	0.1376193285
1327	0.13758489
1328	0.1375678627
1329	0.1375337278
1330	0.137486518
1331	0.1374100478
1332	0.1373613243
1333	0.1373140846
1334	0.1372478508
1335	0.1371962968
1336	0.1371521252
1337	0.1371307945
1338	0.1370554052
1339	0.137010563
1340	0.1369785448
1341	0.1369608075
1342	0.136879689
1343	0.1367961668
1344	0.136754047
1345	0.1366991032
1346	0.1366351921
1347	0.1366048311
1348	0.1365384897
1349	0.1364883885
1350	0.1364345944
1351	0.1363738198
1352	0.1362772101
1353	0.1362285166
1354	0.1361987023
1355	0.1361443468
1356	0.1360828502
1357	0.1360437642
1358	0.1360223789
1359	0.1359767532
1360	0.135907306
1361	0.13584503
1362	0.1357982668
1363	0.1357415955
1364	0.1356584395
1365	0.1356098825
1366	0.1355580512
1367	0.1354877316
1368	0.1354325822
1369	0.13541013
